 format: day,hour,value location:81_75 Start : 20230101 
 1, 0000, 266.000000 
 1, 0100, 261.000000 
 1, 0200, 264.000000 
 1, 0300, 254.000000 
 1, 0400, 238.000000 
 1, 0500, 333.000000 
 1, 0600, 338.000000 
 1, 0700, 349.000000 
 1, 0800, 344.000000 
 1, 0900, 8.000000 
 1, 1000, 345.000000 
 1, 1100, 18.000000 
 1, 1200, 23.000000 
 1, 1300, 311.000000 
 1, 1400, 167.000000 
 1, 1500, 34.000000 
 1, 1600, 0.000000 
 1, 1700, 0.000000 
 1, 1800, 115.000000 
 1, 1900, 19.000000 
 1, 2000, 60.000000 
 1, 2100, 0.000000 
 1, 2200, 16.000000 
 1, 2300, 5.000000 
 2, 0000, 323.000000 
 2, 0100, 302.000000 
 2, 0200, 295.000000 
 2, 0300, 6.000000 
 2, 0400, 340.000000 
 2, 0500, 343.000000 
 2, 0600, 1.000000 
 2, 0700, 336.000000 
 2, 0800, 9.000000 
 2, 0900, 119.000000 
 2, 1000, 66.000000 
 2, 1100, 187.000000 
 2, 1200, 222.000000 
 2, 1300, 83.000000 
 2, 1400, 59.000000 
 2, 1500, 80.000000 
 2, 1600, 31.000000 
 2, 1700, 71.000000 
 2, 1800, 30.000000 
 2, 1900, 47.000000 
 2, 2000, 105.000000 
 2, 2100, 79.000000 
 2, 2200, 278.000000 
 2, 2300, 331.000000 
 3, 0000, 208.000000 
 3, 0100, 245.000000 
 3, 0200, 248.000000 
 3, 0300, 292.000000 
 3, 0400, 306.000000 
 3, 0500, 291.000000 
 3, 0600, 353.000000 
 3, 0700, 4.000000 
 3, 0800, 309.000000 
 3, 0900, 84.000000 
 3, 1000, 0.000000 
 3, 1100, 55.000000 
 3, 1200, 311.000000 
 3, 1300, 52.000000 
 3, 1400, 0.000000 
 3, 1500, 43.000000 
 3, 1600, 73.000000 
 3, 1700, 4.000000 
 3, 1800, 305.000000 
 3, 1900, 233.000000 
 3, 2000, 310.000000 
 3, 2100, 133.000000 
 3, 2200, 121.000000 
 3, 2300, 121.000000 
 4, 0000, 243.000000 
 4, 0100, 288.000000 
 4, 0200, 166.000000 
 4, 0300, 254.000000 
 4, 0400, 260.000000 
 4, 0500, 314.000000 
 4, 0600, 329.000000 
 4, 0700, 21.000000 
 4, 0800, 250.000000 
 4, 0900, 192.000000 
 4, 1000, 267.000000 
 4, 1100, 115.000000 
 4, 1200, 283.000000 
 4, 1300, 0.000000 
 4, 1400, 358.000000 
 4, 1500, 18.000000 
 4, 1600, 66.000000 
 4, 1700, 328.000000 
 4, 1800, 87.000000 
 4, 1900, 79.000000 
 4, 2000, 58.000000 
 4, 2100, 21.000000 
 4, 2200, 79.000000 
 4, 2300, 139.000000 
 5, 0000, 152.000000 
 5, 0100, 82.000000 
 5, 0200, 19.000000 
 5, 0300, 32.000000 
 5, 0400, 294.000000 
 5, 0500, 219.000000 
 5, 0600, 216.000000 
 5, 0700, 290.000000 
 5, 0800, 335.000000 
 5, 0900, 224.000000 
 5, 1000, 64.000000 
 5, 1100, 335.000000 
 5, 1200, 254.000000 
 5, 1300, 0.000000 
 5, 1400, 0.000000 
 5, 1500, 0.000000 
 5, 1600, 0.000000 
 5, 1700, 0.000000 
 5, 1800, 0.000000 
 5, 1900, 14.000000 
 5, 2000, 0.000000 
 5, 2100, 1.000000 
 5, 2200, 0.000000 
 5, 2300, 0.000000 
 6, 0000, 183.000000 
 6, 0100, 192.000000 
 6, 0200, 359.000000 
 6, 0300, 345.000000 
 6, 0400, 219.000000 
 6, 0500, 289.000000 
 6, 0600, 141.000000 
 6, 0700, 131.000000 
 6, 0800, 208.000000 
 6, 0900, 111.000000 
 6, 1000, 55.000000 
 6, 1100, 0.000000 
 6, 1200, 333.000000 
 6, 1300, 155.000000 
 6, 1400, 71.000000 
 6, 1500, 111.000000 
 6, 1600, 5.000000 
 6, 1700, 296.000000 
 6, 1800, 221.000000 
 6, 1900, 224.000000 
 6, 2000, 193.000000 
 6, 2100, 110.000000 
 6, 2200, 336.000000 
 6, 2300, 199.000000 
 7, 0000, 272.000000 
 7, 0100, 309.000000 
 7, 0200, 316.000000 
 7, 0300, 329.000000 
 7, 0400, 345.000000 
 7, 0500, 340.000000 
 7, 0600, 351.000000 
 7, 0700, 74.000000 
 7, 0800, 355.000000 
 7, 0900, 8.000000 
 7, 1000, 66.000000 
 7, 1100, 0.000000 
 7, 1200, 0.000000 
 7, 1300, 357.000000 
 7, 1400, 280.000000 
 7, 1500, 283.000000 
 7, 1600, 68.000000 
 7, 1700, 25.000000 
 7, 1800, 9.000000 
 7, 1900, 69.000000 
 7, 2000, 77.000000 
 7, 2100, 51.000000 
 7, 2200, 103.000000 
 7, 2300, 99.000000 
 8, 0000, 133.000000 
 8, 0100, 275.000000 
 8, 0200, 34.000000 
 8, 0300, 330.000000 
 8, 0400, 298.000000 
 8, 0500, 138.000000 
 8, 0600, 158.000000 
 8, 0700, 0.000000 
 8, 0800, 317.000000 
 8, 0900, 0.000000 
 8, 1000, 0.000000 
 8, 1100, 0.000000 
 8, 1200, 0.000000 
 8, 1300, 28.000000 
 8, 1400, 54.000000 
 8, 1500, 0.000000 
 8, 1600, 81.000000 
 8, 1700, 0.000000 
 8, 1800, 0.000000 
 8, 1900, 0.000000 
 8, 2000, 0.000000 
 8, 2100, 62.000000 
 8, 2200, 0.000000 
 8, 2300, 95.000000 
 9, 0000, -1.000000 
 9, 0100, 329.000000 
 9, 0200, 212.000000 
 9, 0300, 126.000000 
 9, 0400, 325.000000 
 9, 0500, 332.000000 
 9, 0600, 308.000000 
 9, 0700, 5.000000 
 9, 0800, 44.000000 
 9, 0900, 21.000000 
 9, 1000, 353.000000 
 9, 1100, 74.000000 
 9, 1200, 39.000000 
 9, 1300, 48.000000 
 9, 1400, 48.000000 
 9, 1500, 95.000000 
 9, 1600, 301.000000 
 9, 1700, 0.000000 
 9, 1800, 0.000000 
 9, 1900, 0.000000 
 9, 2000, 66.000000 
 9, 2100, 86.000000 
 9, 2200, 0.000000 
 9, 2300, 0.000000 
 10, 0000, 141.000000 
 10, 0100, 254.000000 
 10, 0200, 198.000000 
 10, 0300, 323.000000 
 10, 0400, 282.000000 
 10, 0500, 12.000000 
 10, 0600, 231.000000 
 10, 0700, 172.000000 
 10, 0800, 0.000000 
 10, 0900, 0.000000 
 10, 1000, 321.000000 
 10, 1100, 33.000000 
 10, 1200, 317.000000 
 10, 1300, 99.000000 
 10, 1400, 328.000000 
 10, 1500, 0.000000 
 10, 1600, 334.000000 
 10, 1700, 86.000000 
 10, 1800, 0.000000 
 10, 1900, 54.000000 
 10, 2000, 0.000000 
 10, 2100, 0.000000 
 10, 2200, 112.000000 
 10, 2300, 149.000000 
 11, 0000, 197.000000 
 11, 0100, 265.000000 
 11, 0200, 267.000000 
 11, 0300, 345.000000 
 11, 0400, 171.000000 
 11, 0500, 235.000000 
 11, 0600, 160.000000 
 11, 0700, 130.000000 
 11, 0800, 0.000000 
 11, 0900, 0.000000 
 11, 1000, 305.000000 
 11, 1100, 0.000000 
 11, 1200, 0.000000 
 11, 1300, 353.000000 
 11, 1400, 0.000000 
 11, 1500, 0.000000 
 11, 1600, 0.000000 
 11, 1700, 0.000000 
 11, 1800, 0.000000 
 11, 1900, 0.000000 
