조건별분석,,,,,,,,,,,,,,,,,,,
[검색조건],,,,,,,,,,,,,,,,,,,
,분류: 지상,,,,,,,,,,,,,,,,,,
,요소 : 바람,,,,,,,,,,,,,,,,,,
,검색구분 : 일,,,,,,,,,,,,,,,,,,
,지역/지점명 : 진주,,,,,,,,,,,,,,,,,,
,기간 : 2023 ~ 2023년 01 ~ 05월 01 ~ 31일,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,,,
"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속시각",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속시각",,,,1월달 최대풍속방향,,2,,3,,4
"		192",진주,2023-01-01,0.6,2.4,340,16:19,5.7,360,15:42,,,,340,,360,,270,,90
"		192",진주,2023-01-02,1,4,340,14:26,8.2,340,14:23,,,,340,,110,,340,,70
"		192",진주,2023-01-03,0.6,2.6,360,13:30,5.8,360,13:29,,,,360,,230,,160,,70
"		192",진주,2023-01-04,0.7,3.1,360,14:54,6.1,340,16:04,,,,360,,360,,110,,180
"		192",진주,2023-01-05,0.4,1.6,70,11:25,3.2,140,13:58,,,,70,,140,,230,,110
"		192",진주,2023-01-06,0.4,2.8,200,18:43,5,200,18:38,,,,200,,200,,140,,250
"		192",진주,2023-01-07,1.1,5.2,340,14:37,9.9,360,14:27,,,,340,,90,,140,,320
"		192",진주,2023-01-08,0.3,1.6,290,12:40,2.7,230,14:51,,,,290,,320,,160,,290
"		192",진주,2023-01-09,0.5,3,340,20:15,6.9,360,17:35,,,,340,,110,,250,,110
"		192",진주,2023-01-10,0.4,2,250,16:24,4.1,180,16:35,,,,250,,360,,270,,270
"		192",진주,2023-01-11,0.3,2,200,15:35,3.5,250,15:09,,,,200,,90,,200,,270
"		192",진주,2023-01-12,0.4,2.7,110,14:15,4.6,90,14:54,,,,110,,90,,270,,360
"		192",진주,2023-01-13,0.6,2.6,320,9:08,6.1,320,9:03,,,,320,,360,,320,,110
"		192",진주,2023-01-14,0.4,1.8,70,16:10,4,50,19:55,,,,70,,70,,110,,90
"		192",진주,2023-01-15,0.8,2.8,320,16:11,5.6,340,17:22,,,,320,,70,,250,,230
"		192",진주,2023-01-16,1.2,3.3,340,16:10,6.2,340,16:10,,,,340,,250,,70,,230
"		192",진주,2023-01-17,0.8,2.7,340,15:53,5.4,360,15:48,,,,340,,270,,110,,180
"		192",진주,2023-01-18,0.5,2.1,360,17:42,4.6,360,17:39,,,,360,,290,,180,,270
"		192",진주,2023-01-19,0.4,2.5,200,11:41,5.2,140,11:38,,,,200,,360,,110,,180
"		192",진주,2023-01-20,1.4,5.1,340,14:03,10.3,360,13:27,,,,340,,290,,110,,200
"		192",진주,2023-01-21,0.6,2.3,70,10:11,4,90,10:04,,,,70,,70,,140,,70
"		192",진주,2023-01-22,0.4,2,90,14:12,3.9,70,14:07,,,,90,,110,,320,,70
"		192",진주,2023-01-23,0.8,2.8,110,13:54,5.3,90,14:10,,,,110,,200,,20,,70
"		192",진주,2023-01-24,4.1,7.4,320,13:39,15.6,320,16:32,,,,320,,340,,90,,70
"		192",진주,2023-01-25,0.9,2.7,20,2:17,6,360,2:15,,,,20,,320,,70,,50
"		192",진주,2023-01-26,0.5,1.8,140,14:00,4.1,110,13:59,,,,140,,140,,250,,230
"		192",진주,2023-01-27,2.6,5.7,340,16:34,11.7,340,15:51,,,,340,,110,,70,,270
"		192",진주,2023-01-28,1.3,3.3,270,16:13,6.8,270,16:11,,,,270,,180,,110,,200
"		192",진주,2023-01-29,1.1,4,270,18:26,7.2,270,17:38,,,,270,,,,200,,230
"		192",진주,2023-01-30,1.3,4.4,340,4:03,8.2,20,4:00,,,,340,,,,200,,250
"		192",진주,2023-01-31,0.7,2.8,110,12:51,6.6,110,13:48,,,,110,,,,110,,
"		192",진주,2023-02-01,1.4,4.9,360,20:49,10.5,340,20:33,,,,,,,,,,
"		192",진주,2023-02-02,0.8,2.2,110,14:49,4.7,50,8:59,,,,244.1935484,,210.3571429,,173.5483871,,179.6666667
"		192",진주,2023-02-03,0.5,2.1,230,16:41,4.3,180,14:55,,,,,,,,,,
"		192",진주,2023-02-04,0.7,2.7,360,17:16,4.9,360,10:01,,,,,,,,,,
"		192",진주,2023-02-05,0.6,2.3,140,16:07,5.1,90,15:58,,,,,,,,,,
"		192",진주,2023-02-06,0.4,2.6,200,18:38,4.9,230,18:34,,,,,,,,,,
"		192",진주,2023-02-07,0.5,2.1,90,12:27,3.7,90,12:10,,,,,,,,,,
"		192",진주,2023-02-08,0.8,3.7,320,15:10,9.2,320,15:10,,,,,,,,,,
"		192",진주,2023-02-09,1.2,3.9,110,16:26,6.5,140,16:25,,,,,,,,,,
"		192",진주,2023-02-10,0.9,4.1,360,14:43,8.2,20,14:17,,,,,,,,,,
"		192",진주,2023-02-11,0.4,1.5,90,12:42,2.8,110,12:39,,,,,,,,,,
"		192",진주,2023-02-12,0.3,1.6,90,12:47,3.3,20,17:48,,,,,,,,,,
"		192",진주,2023-02-13,1.2,2.8,360,10:52,5.6,360,10:46,,,,,,,,,,
"		192",진주,2023-02-14,0.8,2.6,70,23:22,5.1,50,22:39,,,,,,,,,,
"		192",진주,2023-02-15,1.3,2.8,70,0:14,5.6,90,0:14,,,,,,,,,,
"		192",진주,2023-02-16,0.7,2.4,250,15:03,5.4,250,14:55,,,,,,,,,,
"		192",진주,2023-02-17,0.3,1.6,270,10:43,2.4,70,13:59,,,,,,,,,,
"		192",진주,2023-02-18,0.2,1.1,290,9:05,2,290,9:01,,,,,,,,,,
"		192",진주,2023-02-19,2,5.1,360,15:18,10.6,360,14:58,,,,,,,,,,
