date,pm10,pm25
2023-02-01 01,34,18
2023-02-01 02,30,18
2023-02-01 03,27,18
2023-02-01 04,28,16
2023-02-01 05,25,17
2023-02-01 06,32,17
2023-02-01 07,30,18
2023-02-01 08,28,19
2023-02-01 09,34,19
2023-02-01 10,49,30
2023-02-01 11,76,47
2023-02-01 12,82,52
2023-02-01 13,52,27
2023-02-01 14,47,25
2023-02-01 15,39,18
2023-02-01 16,55,20
2023-02-01 17,62,25
2023-02-01 18,70,28
2023-02-01 19,68,30
2023-02-01 20,59,26
2023-02-01 21,50,25
2023-02-01 22,37,19
2023-02-01 23,35,19
2023-02-02 00,31,17
2023-02-02 01,28,16
2023-02-02 02,23,15
2023-02-02 03,21,12
2023-02-02 04,20,11
2023-02-02 05,19,12
2023-02-02 06,16,11
2023-02-02 07,21,10
2023-02-02 08,27,15
2023-02-02 09,24,14
2023-02-02 10,21,11
2023-02-02 11,23,13
2023-02-02 12,27,17
2023-02-02 13,20,15
2023-02-02 14,18,14
2023-02-02 15,15,8
2023-02-02 16,13,8
2023-02-02 17,15,9
2023-02-02 18,28,16
2023-02-02 19,27,15
2023-02-02 20,32,18
2023-02-02 21,42,21
2023-02-02 22,38,19
2023-02-02 23,36,19
2023-02-03 00,33,21
2023-02-03 01,32,21
2023-02-03 02,32,22
2023-02-03 03,36,20
2023-02-03 04,31,20
2023-02-03 05,28,19
2023-02-03 06,29,18
2023-02-03 07,28,17
2023-02-03 08,31,18
2023-02-03 09,32,19
2023-02-03 10,32,21
2023-02-03 11,32,20
2023-02-03 12,30,18
2023-02-03 13,23,13
2023-02-03 14,27,15
2023-02-03 15,33,18
2023-02-03 16,36,22
2023-02-03 17,38,21
2023-02-03 18,41,22
2023-02-03 19,34,22
2023-02-03 20,25,15
2023-02-03 21,26,15
2023-02-03 22,23,11
2023-02-03 23,22,12
2023-02-04 00,21,10
2023-02-04 01,18,11
2023-02-04 02,18,11
2023-02-04 03,19,11
2023-02-04 04,17,10
2023-02-04 05,15,8
2023-02-04 06,13,6
2023-02-04 07,11,6
2023-02-04 08,12,8
2023-02-04 09,14,10
2023-02-04 10,17,11
2023-02-04 11,21,12
2023-02-04 12,26,16
2023-02-04 13,27,17
2023-02-04 14,27,18
2023-02-04 15,32,20
2023-02-04 16,31,20
2023-02-04 17,32,20
2023-02-04 18,36,21
2023-02-04 19,34,22
2023-02-04 20,41,25
2023-02-04 21,37,25
2023-02-04 22,47,30
2023-02-04 23,50,30
2023-02-05 00,49,31
2023-02-05 01,45,30
2023-02-05 02,42,29
2023-02-05 03,38,28
2023-02-05 04,36,27
2023-02-05 05,35,27
2023-02-05 06,44,34
2023-02-05 07,50,38
2023-02-05 08,49,40
2023-02-05 09,50,37
2023-02-05 10,54,37
2023-02-05 11,52,40
2023-02-05 12,52,38
2023-02-05 13,42,29
2023-02-05 14,27,20
2023-02-05 15,21,16
2023-02-05 16,13,12
2023-02-05 17,15,10
2023-02-05 18,18,14
2023-02-05 19,28,18
2023-02-05 20,41,30
2023-02-05 21,66,49
2023-02-05 22,61,43
2023-02-05 23,61,44
2023-02-06 00,57,40
2023-02-06 01,53,37
2023-02-06 02,46,36
2023-02-06 03,49,38
2023-02-06 04,46,36
2023-02-06 05,44,36
2023-02-06 06,39,34
2023-02-06 07,47,34
2023-02-06 08,45,35
2023-02-06 09,40,36
2023-02-06 10,41,34
2023-02-06 11,,
2023-02-06 12,,
2023-02-06 13,80,60
2023-02-06 14,54,44
2023-02-06 15,39,28
2023-02-06 16,27,21
2023-02-06 17,27,20
2023-02-06 18,40,24
2023-02-06 19,56,35
2023-02-06 20,49,32
2023-02-06 21,59,35
2023-02-06 22,66,37
2023-02-06 23,56,35
2023-02-07 00,55,35
2023-02-07 01,56,38
2023-02-07 02,50,36
2023-02-07 03,46,33
2023-02-07 04,39,30
2023-02-07 05,38,28
2023-02-07 06,34,27
2023-02-07 07,40,29
2023-02-07 08,42,30
2023-02-07 09,55,38
2023-02-07 10,64,46
2023-02-07 11,49,34
2023-02-07 12,47,36
2023-02-07 13,48,35
2023-02-07 14,39,29
2023-02-07 15,30,21
2023-02-07 16,33,25
2023-02-07 17,40,28
2023-02-07 18,41,32
2023-02-07 19,42,28
2023-02-07 20,45,27
2023-02-07 21,71,37
2023-02-07 22,85,44
2023-02-07 23,62,36
2023-02-08 00,51,33
2023-02-08 01,51,36
2023-02-08 02,49,36
2023-02-08 03,49,38
2023-02-08 04,44,32
2023-02-08 05,50,37
2023-02-08 06,49,34
2023-02-08 07,49,36
2023-02-08 08,45,35
2023-02-08 09,62,46
2023-02-08 10,,
2023-02-08 11,59,40
2023-02-08 12,60,42
2023-02-08 13,33,22
2023-02-08 14,37,17
2023-02-08 15,29,12
2023-02-08 16,25,15
2023-02-08 17,28,16
2023-02-08 18,28,18
2023-02-08 19,30,19
2023-02-08 20,32,21
2023-02-08 21,35,24
2023-02-08 22,42,27
2023-02-08 23,42,30
2023-02-09 00,45,33
2023-02-09 01,48,36
2023-02-09 02,47,34
2023-02-09 03,44,33
2023-02-09 04,41,32
2023-02-09 05,42,33
2023-02-09 06,42,32
2023-02-09 07,44,31
2023-02-09 08,50,36
2023-02-09 09,47,36
2023-02-09 10,54,39
2023-02-09 11,50,37
2023-02-09 12,48,35
2023-02-09 13,49,34
2023-02-09 14,55,37
2023-02-09 15,50,33
2023-02-09 16,52,34
2023-02-09 17,38,23
2023-02-09 18,33,20
2023-02-09 19,29,20
2023-02-09 20,29,19
2023-02-09 21,28,17
2023-02-09 22,26,18
2023-02-09 23,24,13
2023-02-10 00,12,12
2023-02-10 01,14,11
2023-02-10 02,10,7
2023-02-10 03,11,9
2023-02-10 04,7,
2023-02-10 05,5,4
2023-02-10 06,3,3
2023-02-10 07,2,2
2023-02-10 08,4,3
2023-02-10 09,6,5
2023-02-10 10,11,8
2023-02-10 11,10,7
2023-02-10 12,5,5
2023-02-10 13,3,3
2023-02-10 14,7,2
2023-02-10 15,10,5
2023-02-10 16,8,6
2023-02-10 17,10,8
2023-02-10 18,13,12
2023-02-10 19,14,12
2023-02-10 20,18,13
2023-02-10 21,20,14
2023-02-10 22,25,15
2023-02-10 23,29,19
2023-02-11 00,22,17
2023-02-11 01,24,18
2023-02-11 02,22,16
2023-02-11 03,23,15
2023-02-11 04,22,15
2023-02-11 05,24,17
2023-02-11 06,23,15
2023-02-11 07,25,17
2023-02-11 08,31,21
2023-02-11 09,39,23
2023-02-11 10,44,30
2023-02-11 11,48,30
2023-02-11 12,35,27
2023-02-11 13,40,26
2023-02-11 14,36,24
2023-02-11 15,34,23
2023-02-11 16,41,30
2023-02-11 17,35,25
2023-02-11 18,41,28
2023-02-11 19,50,33
2023-02-11 20,52,34
2023-02-11 21,59,36
2023-02-11 22,58,36
2023-02-11 23,54,35
2023-02-12 00,53,34
2023-02-12 01,52,33
2023-02-12 02,49,31
2023-02-12 03,44,27
2023-02-12 04,36,19
2023-02-12 05,29,16
2023-02-12 06,23,15
2023-02-12 07,22,15
2023-02-12 08,22,16
2023-02-12 09,28,18
2023-02-12 10,28,20
2023-02-12 11,32,24
2023-02-12 12,25,20
2023-02-12 13,39,28
2023-02-12 14,37,26
2023-02-12 15,35,28
2023-02-12 16,38,27
2023-02-12 17,35,28
2023-02-12 18,35,26
2023-02-12 19,33,25
2023-02-12 20,35,24
2023-02-12 21,31,26
2023-02-12 22,36,26
2023-02-12 23,36,26
2023-02-13 00,35,27
2023-02-13 01,34,25
2023-02-13 02,37,27
2023-02-13 03,40,26
2023-02-13 04,40,25
2023-02-13 05,36,26
2023-02-13 06,35,23
2023-02-13 07,34,23
2023-02-13 08,36,22
2023-02-13 09,34,22
2023-02-13 10,25,19
2023-02-13 11,,
2023-02-13 12,,
2023-02-13 13,26,20
2023-02-13 14,24,13
2023-02-13 15,25,16
2023-02-13 16,28,16
2023-02-13 17,31,19
2023-02-13 18,35,19
2023-02-13 19,38,18
2023-02-13 20,40,19
2023-02-13 21,31,14
2023-02-13 22,31,16
2023-02-13 23,31,17
2023-02-14 00,34,16
2023-02-14 01,29,17
2023-02-14 02,30,15
2023-02-14 03,27,16
2023-02-14 04,27,15
2023-02-14 05,25,15
2023-02-14 06,27,17
2023-02-14 07,33,16
2023-02-14 08,37,19
2023-02-14 09,37,18
2023-02-14 10,45,24
2023-02-14 11,43,29
2023-02-14 12,37,26
2023-02-14 13,29,20
2023-02-14 14,29,22
2023-02-14 15,29,19
2023-02-14 16,27,20
2023-02-14 17,31,20
2023-02-14 18,37,25
2023-02-14 19,39,23
2023-02-14 20,41,25
2023-02-14 21,41,24
2023-02-14 22,32,22
2023-02-14 23,24,15
2023-02-15 00,21,13
2023-02-15 01,16,11
2023-02-15 02,11,7
2023-02-15 03,6,
2023-02-15 04,10,7
2023-02-15 05,6,5
2023-02-15 06,11,6
2023-02-15 07,13,8
2023-02-15 08,11,8
2023-02-15 09,14,8
2023-02-15 10,11,6
2023-02-15 11,10,7
2023-02-15 12,10,8
2023-02-15 13,15,11
2023-02-15 14,13,8
2023-02-15 15,15,10
2023-02-15 16,15,13
2023-02-15 17,18,12
2023-02-15 18,22,13
2023-02-15 19,16,9
2023-02-15 20,12,9
2023-02-15 21,12,9
2023-02-15 22,10,7
2023-02-15 23,15,9
