date,pm10,pm25
2023-02-16 01,10,
2023-02-16 02,11,11
2023-02-16 03,13,13
2023-02-16 04,16,15
2023-02-16 05,16,
2023-02-16 06,17,17
2023-02-16 07,19,17
2023-02-16 08,21,21
2023-02-16 09,23,20
2023-02-16 10,25,20
2023-02-16 11,20,15
2023-02-16 12,17,8
2023-02-16 13,14,4
2023-02-16 14,12,4
2023-02-16 15,13,7
2023-02-16 16,17,10
2023-02-16 17,25,15
2023-02-16 18,29,21
2023-02-16 19,32,24
2023-02-16 20,30,21
2023-02-16 21,27,19
2023-02-16 22,24,18
2023-02-16 23,24,19
2023-02-17 00,27,22
2023-02-17 01,30,22
2023-02-17 02,31,22
2023-02-17 03,32,27
2023-02-17 04,31,28
2023-02-17 05,31,29
2023-02-17 06,33,30
2023-02-17 07,34,31
2023-02-17 08,38,35
2023-02-17 09,42,36
2023-02-17 10,43,32
2023-02-17 11,38,29
2023-02-17 12,34,27
2023-02-17 13,30,23
2023-02-17 14,26,18
2023-02-17 15,22,15
2023-02-17 16,18,12
2023-02-17 17,18,11
2023-02-17 18,22,14
2023-02-17 19,27,18
2023-02-17 20,33,25
2023-02-17 21,39,31
2023-02-17 22,42,37
2023-02-17 23,43,39
2023-02-18 00,40,38
2023-02-18 01,38,35
2023-02-18 02,38,34
2023-02-18 03,39,36
2023-02-18 04,38,36
2023-02-18 05,35,32
2023-02-18 06,34,31
2023-02-18 07,34,30
2023-02-18 08,33,31
2023-02-18 09,32,31
2023-02-18 10,32,30
2023-02-18 11,31,28
2023-02-18 12,29,26
2023-02-18 13,29,23
2023-02-18 14,31,24
2023-02-18 15,35,26
2023-02-18 16,46,34
2023-02-18 17,53,39
2023-02-18 18,52,41
2023-02-18 19,47,41
2023-02-18 20,43,42
2023-02-18 21,42,42
2023-02-18 22,42,40
2023-02-18 23,41,39
2023-02-19 00,38,36
2023-02-19 01,37,33
2023-02-19 02,38,33
2023-02-19 03,43,35
2023-02-19 04,48,35
2023-02-19 05,45,33
2023-02-19 06,40,31
2023-02-19 07,33,29
2023-02-19 08,20,18
2023-02-19 09,11,10
2023-02-19 10,14,8
2023-02-19 11,22,13
2023-02-19 12,24,16
2023-02-19 13,29,20
2023-02-19 14,36,27
2023-02-19 15,44,35
2023-02-19 16,48,39
2023-02-19 17,46,40
2023-02-19 18,44,40
2023-02-19 19,38,38
2023-02-19 20,32,
2023-02-19 21,27,27
2023-02-19 22,22,21
2023-02-19 23,19,17
2023-02-20 00,17,15
2023-02-20 01,16,14
2023-02-20 02,15,13
2023-02-20 03,14,14
2023-02-20 04,13,11
2023-02-20 05,11,9
2023-02-20 06,11,9
2023-02-20 07,12,10
2023-02-20 08,16,12
2023-02-20 09,24,13
2023-02-20 10,28,11
2023-02-20 11,30,8
2023-02-20 12,29,3
2023-02-20 13,29,4
2023-02-20 14,,
2023-02-20 15,36,11
2023-02-20 16,32,10
2023-02-20 17,29,9
2023-02-20 18,29,10
2023-02-20 19,31,11
2023-02-20 20,31,13
2023-02-20 21,30,12
2023-02-20 22,28,12
2023-02-20 23,25,13
2023-02-21 00,22,14
2023-02-21 01,19,13
2023-02-21 02,14,11
2023-02-21 03,15,12
2023-02-21 04,15,12
2023-02-21 05,16,13
2023-02-21 06,17,14
2023-02-21 07,19,14
2023-02-21 08,20,14
2023-02-21 09,22,13
2023-02-21 10,25,12
2023-02-21 11,26,13
2023-02-21 12,24,12
2023-02-21 13,19,9
2023-02-21 14,16,6
2023-02-21 15,16,4
2023-02-21 16,17,4
2023-02-21 17,19,6
2023-02-21 18,22,10
2023-02-21 19,25,11
2023-02-21 20,27,17
2023-02-21 21,31,21
2023-02-21 22,34,23
2023-02-21 23,35,26
2023-02-22 00,36,26
2023-02-22 01,33,25
2023-02-22 02,32,24
2023-02-22 03,31,26
2023-02-22 04,29,26
2023-02-22 05,29,25
2023-02-22 06,27,23
2023-02-22 07,26,22
2023-02-22 08,27,20
2023-02-22 09,32,19
2023-02-22 10,33,19
2023-02-22 11,31,16
2023-02-22 12,28,15
2023-02-22 13,20,10
2023-02-22 14,14,3
2023-02-22 15,9,
2023-02-22 16,5,
2023-02-22 17,8,0
2023-02-22 18,12,5
2023-02-22 19,15,7
2023-02-22 20,17,9
2023-02-22 21,18,10
2023-02-22 22,17,7
2023-02-22 23,17,7
2023-02-23 00,17,7
2023-02-23 01,21,10
2023-02-23 02,25,14
2023-02-23 03,23,18
2023-02-23 04,21,19
2023-02-23 05,20,19
2023-02-23 06,20,19
2023-02-23 07,22,20
2023-02-23 08,23,21
2023-02-23 09,26,23
2023-02-23 10,26,18
2023-02-23 11,17,10
2023-02-23 12,6,1
2023-02-23 13,,
2023-02-23 14,,
2023-02-23 15,,
2023-02-23 16,4,
2023-02-23 17,9,3
2023-02-23 18,12,7
2023-02-23 19,21,10
2023-02-23 20,25,16
2023-02-23 21,33,21
2023-02-23 22,35,25
2023-02-23 23,31,27
2023-02-24 00,25,
2023-02-24 01,24,
2023-02-24 02,28,
2023-02-24 03,37,35
2023-02-24 04,43,38
2023-02-24 05,42,38
2023-02-24 06,49,42
2023-02-24 07,63,48
2023-02-24 08,73,53
2023-02-24 09,72,55
2023-02-24 10,73,56
2023-02-24 11,71,53
2023-02-24 12,62,51
2023-02-24 13,45,37
2023-02-24 14,30,23
2023-02-24 15,24,18
2023-02-24 16,22,17
2023-02-24 17,22,17
2023-02-24 18,25,23
2023-02-24 19,31,26
2023-02-24 20,39,32
2023-02-24 21,43,36
2023-02-24 22,43,35
2023-02-24 23,43,31
2023-02-25 00,40,26
2023-02-25 01,30,17
2023-02-25 02,21,7
2023-02-25 03,16,6
2023-02-25 04,14,9
2023-02-25 05,15,10
2023-02-25 06,18,12
2023-02-25 07,21,15
2023-02-25 08,24,17
2023-02-25 09,25,17
2023-02-25 10,30,16
2023-02-25 11,29,14
2023-02-25 12,28,13
2023-02-25 13,24,12
2023-02-25 14,20,11
2023-02-25 15,20,10
2023-02-25 16,19,9
2023-02-25 17,20,11
2023-02-25 18,22,14
2023-02-25 19,28,19
2023-02-25 20,29,22
2023-02-25 21,30,26
2023-02-25 22,34,26
2023-02-25 23,33,26
2023-02-26 00,32,25
2023-02-26 01,35,22
2023-02-26 02,38,21
2023-02-26 03,36,22
2023-02-26 04,32,22
2023-02-26 05,28,21
2023-02-26 06,27,21
2023-02-26 07,28,20
2023-02-26 08,29,20
2023-02-26 09,30,19
2023-02-26 10,31,17
2023-02-26 11,29,15
2023-02-26 12,25,12
2023-02-26 13,22,8
2023-02-26 14,16,6
2023-02-26 15,14,4
2023-02-26 16,12,4
2023-02-26 17,11,4
2023-02-26 18,15,7
2023-02-26 19,22,11
2023-02-26 20,27,17
2023-02-26 21,32,21
2023-02-26 22,35,25
2023-02-26 23,36,27
2023-02-27 00,38,29
2023-02-27 01,36,29
2023-02-27 02,35,28
2023-02-27 03,37,31
2023-02-27 04,37,32
2023-02-27 05,36,31
2023-02-27 06,35,30
2023-02-27 07,36,29
2023-02-27 08,35,30
2023-02-27 09,,
2023-02-27 10,,
2023-02-27 11,42,28
2023-02-27 12,38,27
2023-02-27 13,34,22
2023-02-27 14,31,18
2023-02-27 15,27,15
2023-02-27 16,30,18
2023-02-27 17,40,25
2023-02-27 18,44,31
2023-02-27 19,43,33
2023-02-27 20,43,36
2023-02-27 21,44,34
2023-02-27 22,43,33
2023-02-27 23,43,33
2023-02-28 00,45,35
2023-02-28 01,48,35
2023-02-28 02,52,34
2023-02-28 03,50,38
2023-02-28 04,49,41
2023-02-28 05,48,40
2023-02-28 06,46,39
2023-02-28 07,44,37
2023-02-28 08,46,37
2023-02-28 09,48,37
2023-02-28 10,50,35
2023-02-28 11,49,34
2023-02-28 12,45,28
2023-02-28 13,34,21
2023-02-28 14,14,8
2023-02-28 15,8,
2023-02-28 16,8,
2023-02-28 17,11,
2023-02-28 18,15,3
2023-02-28 19,17,6
2023-02-28 20,17,8
2023-02-28 21,17,9
2023-02-28 22,16,8
2023-02-28 23,15,8
