date,pm10,pm25
2022-12-01 01,9,
2022-12-01 02,16,0
2022-12-01 03,8,5
2022-12-01 04,8,5
2022-12-01 05,8,7
2022-12-01 06,7,4
2022-12-01 07,9,6
2022-12-01 08,8,4
2022-12-01 09,5,3
2022-12-01 10,6,6
2022-12-01 11,4,
2022-12-01 12,5,
2022-12-01 13,,
2022-12-01 14,2,
2022-12-01 15,3,
2022-12-01 16,3,1
2022-12-01 17,2,5
2022-12-01 18,11,5
2022-12-01 19,11,11
2022-12-01 20,14,9
2022-12-01 21,15,9
2022-12-01 22,14,10
2022-12-01 23,13,10
2022-12-02 00,15,11
2022-12-02 01,11,11
2022-12-02 02,16,8
2022-12-02 03,13,12
2022-12-02 04,10,11
2022-12-02 05,13,10
2022-12-02 06,15,9
2022-12-02 07,18,8
2022-12-02 08,16,12
2022-12-02 09,18,10
2022-12-02 10,14,5
2022-12-02 11,8,3
2022-12-02 12,2,
2022-12-02 13,4,
2022-12-02 14,2,1
2022-12-02 15,1,1
2022-12-02 16,4,3
2022-12-02 17,11,5
2022-12-02 18,12,11
2022-12-02 19,23,13
2022-12-02 20,24,19
2022-12-02 21,26,16
2022-12-02 22,26,19
2022-12-02 23,24,18
2022-12-03 00,19,16
2022-12-03 01,19,15
2022-12-03 02,19,11
2022-12-03 03,20,12
2022-12-03 04,16,10
2022-12-03 05,12,9
2022-12-03 06,13,10
2022-12-03 07,16,11
2022-12-03 08,18,9
2022-12-03 09,19,14
2022-12-03 10,25,15
2022-12-03 11,10,7
2022-12-03 12,22,8
2022-12-03 13,18,7
2022-12-03 14,22,10
2022-12-03 15,18,8
2022-12-03 16,22,14
2022-12-03 17,21,14
2022-12-03 18,30,20
2022-12-03 19,40,17
2022-12-03 20,40,26
2022-12-03 21,38,26
2022-12-03 22,39,30
2022-12-03 23,36,24
2022-12-04 00,36,25
2022-12-04 01,27,25
2022-12-04 02,36,32
2022-12-04 03,35,30
2022-12-04 04,39,25
2022-12-04 05,44,18
2022-12-04 06,45,21
2022-12-04 07,47,21
2022-12-04 08,50,25
2022-12-04 09,35,21
2022-12-04 10,38,17
2022-12-04 11,24,13
2022-12-04 12,9,1
2022-12-04 13,3,
2022-12-04 14,1,0
2022-12-04 15,6,
2022-12-04 16,8,
2022-12-04 17,8,3
2022-12-04 18,10,6
2022-12-04 19,7,4
2022-12-04 20,9,5
2022-12-04 21,7,7
2022-12-04 22,6,5
2022-12-04 23,4,1
2022-12-05 00,6,4
2022-12-05 01,19,1
2022-12-05 02,11,5
2022-12-05 03,5,6
2022-12-05 04,8,6
2022-12-05 05,10,7
2022-12-05 06,11,7
2022-12-05 07,9,8
2022-12-05 08,8,7
2022-12-05 09,10,3
2022-12-05 10,9,5
2022-12-05 11,8,3
2022-12-05 12,2,
2022-12-05 13,4,1
2022-12-05 14,0,0
2022-12-05 15,,
2022-12-05 16,2,2
2022-12-05 17,8,4
2022-12-05 18,8,2
2022-12-05 19,9,5
2022-12-05 20,7,5
2022-12-05 21,9,7
2022-12-05 22,10,7
2022-12-05 23,11,9
2022-12-06 00,11,8
2022-12-06 01,10,5
2022-12-06 02,6,4
2022-12-06 03,5,13
2022-12-06 04,11,9
2022-12-06 05,13,12
2022-12-06 06,19,11
2022-12-06 07,21,15
2022-12-06 08,24,21
2022-12-06 09,23,21
2022-12-06 10,25,9
2022-12-06 11,13,6
2022-12-06 12,21,4
2022-12-06 13,19,
2022-12-06 14,,
2022-12-06 15,,
2022-12-06 16,31,9
2022-12-06 17,30,10
2022-12-06 18,25,11
2022-12-06 19,28,13
2022-12-06 20,23,15
2022-12-06 21,40,19
2022-12-06 22,35,14
2022-12-06 23,32,20
2022-12-07 00,28,18
2022-12-07 01,19,28
2022-12-07 02,28,28
2022-12-07 03,30,23
2022-12-07 04,28,17
2022-12-07 05,24,17
2022-12-07 06,25,19
2022-12-07 07,22,17
2022-12-07 08,24,12
2022-12-07 09,25,17
2022-12-07 10,29,18
2022-12-07 11,38,10
2022-12-07 12,38,10
2022-12-07 13,38,6
2022-12-07 14,31,6
2022-12-07 15,30,10
2022-12-07 16,29,13
2022-12-07 17,25,13
2022-12-07 18,27,14
2022-12-07 19,30,15
2022-12-07 20,29,15
2022-12-07 21,31,17
2022-12-07 22,37,20
2022-12-07 23,38,19
2022-12-08 00,38,20
2022-12-08 01,38,18
2022-12-08 02,35,23
2022-12-08 03,29,21
2022-12-08 04,34,21
2022-12-08 05,27,20
2022-12-08 06,28,20
2022-12-08 07,28,19
2022-12-08 08,34,18
2022-12-08 09,34,22
2022-12-08 10,36,17
2022-12-08 11,34,13
2022-12-08 12,31,5
2022-12-08 13,21,7
2022-12-08 14,11,0
2022-12-08 15,18,5
2022-12-08 16,25,12
2022-12-08 17,21,9
2022-12-08 18,30,10
2022-12-08 19,34,12
2022-12-08 20,32,14
2022-12-08 21,30,16
2022-12-08 22,24,15
2022-12-08 23,25,17
2022-12-09 00,24,17
2022-12-09 01,29,10
2022-12-09 02,27,17
2022-12-09 03,25,22
2022-12-09 04,24,18
2022-12-09 05,24,17
2022-12-09 06,23,15
2022-12-09 07,22,17
2022-12-09 08,23,14
2022-12-09 09,28,11
2022-12-09 10,27,11
2022-12-09 11,31,9
2022-12-09 12,24,4
2022-12-09 13,23,9
2022-12-09 14,22,9
2022-12-09 15,27,10
2022-12-09 16,25,11
2022-12-09 17,30,13
2022-12-09 18,29,12
2022-12-09 19,35,22
2022-12-09 20,41,25
2022-12-09 21,36,21
2022-12-09 22,38,20
2022-12-09 23,40,28
2022-12-10 00,40,30
2022-12-10 01,38,33
2022-12-10 02,40,34
2022-12-10 03,39,34
2022-12-10 04,36,31
2022-12-10 05,33,24
2022-12-10 06,33,26
2022-12-10 07,35,27
2022-12-10 08,35,21
2022-12-10 09,40,21
2022-12-10 10,43,21
2022-12-10 11,35,19
2022-12-10 12,35,17
2022-12-10 13,34,20
2022-12-10 14,37,21
2022-12-10 15,32,18
2022-12-10 16,25,15
2022-12-10 17,30,16
2022-12-10 18,27,13
2022-12-10 19,36,17
2022-12-10 20,34,21
2022-12-10 21,26,23
2022-12-10 22,31,20
2022-12-10 23,30,19
2022-12-11 00,33,20
2022-12-11 01,28,17
2022-12-11 02,27,22
2022-12-11 03,31,26
2022-12-11 04,26,19
2022-12-11 05,22,20
2022-12-11 06,26,19
2022-12-11 07,28,18
2022-12-11 08,30,19
2022-12-11 09,27,11
2022-12-11 10,24,12
2022-12-11 11,16,6
2022-12-11 12,14,3
2022-12-11 13,14,7
2022-12-11 14,15,7
2022-12-11 15,16,6
2022-12-11 16,15,10
2022-12-11 17,18,12
2022-12-11 18,17,11
2022-12-11 19,21,14
2022-12-11 20,24,16
2022-12-11 21,22,17
2022-12-11 22,30,17
2022-12-11 23,32,19
2022-12-12 00,31,23
2022-12-12 01,26,12
2022-12-12 02,30,20
2022-12-12 03,34,26
2022-12-12 04,33,23
2022-12-12 05,33,19
2022-12-12 06,30,21
2022-12-12 07,29,15
2022-12-12 08,23,20
2022-12-12 09,29,21
2022-12-12 10,31,20
2022-12-12 11,28,10
2022-12-12 12,25,16
2022-12-12 13,30,15
2022-12-12 14,31,14
2022-12-12 15,,
2022-12-12 16,,
2022-12-12 17,9,2
2022-12-12 18,9,3
2022-12-12 19,11,12
2022-12-12 20,16,20
