date,pm10,pm25
2023-01-01 01,64,
2023-01-01 02,73,24
2023-01-01 03,64,22
2023-01-01 04,54,20
2023-01-01 05,42,24
2023-01-01 06,39,22
2023-01-01 07,48,23
2023-01-01 08,52,17
2023-01-01 09,57,25
2023-01-01 10,56,27
2023-01-01 11,53,25
2023-01-01 12,49,28
2023-01-01 13,55,39
2023-01-01 14,73,44
2023-01-01 15,93,40
2023-01-01 16,103,45
2023-01-01 17,,45
2023-01-01 18,,48
2023-01-01 19,,43
2023-01-01 20,,39
2023-01-01 21,,28
2023-01-01 22,,27
2023-01-01 23,,18
2023-01-02 00,,15
2023-01-02 01,,20
2023-01-02 02,,11
2023-01-02 03,,8
2023-01-02 04,,6
2023-01-02 05,,6
2023-01-02 06,,6
2023-01-02 07,,6
2023-01-02 08,,7
2023-01-02 09,,10
2023-01-02 10,10,6
2023-01-02 11,3,3
2023-01-02 12,,3
2023-01-02 13,3,1
2023-01-02 14,10,0
2023-01-02 15,,
2023-01-02 16,7,0
2023-01-02 17,10,4
2023-01-02 18,20,6
2023-01-02 19,25,9
2023-01-02 20,30,8
2023-01-02 21,27,7
2023-01-02 22,24,7
2023-01-02 23,21,9
2023-01-03 00,24,9
2023-01-03 01,25,16
2023-01-03 02,31,13
2023-01-03 03,33,10
2023-01-03 04,27,9
2023-01-03 05,23,11
2023-01-03 06,25,17
2023-01-03 07,34,14
2023-01-03 08,32,12
2023-01-03 09,33,9
2023-01-03 10,23,8
2023-01-03 11,12,6
2023-01-03 12,4,4
2023-01-03 13,,6
2023-01-03 14,,4
2023-01-03 15,6,2
2023-01-03 16,8,3
2023-01-03 17,18,7
2023-01-03 18,28,10
2023-01-03 19,34,8
2023-01-03 20,34,11
2023-01-03 21,31,13
2023-01-03 22,32,13
2023-01-03 23,34,14
2023-01-04 00,39,16
2023-01-04 01,37,11
2023-01-04 02,35,14
2023-01-04 03,32,13
2023-01-04 04,24,8
2023-01-04 05,22,10
2023-01-04 06,24,13
2023-01-04 07,25,13
2023-01-04 08,37,15
2023-01-04 09,49,25
2023-01-04 10,54,14
2023-01-04 11,44,17
2023-01-04 12,36,9
2023-01-04 13,27,9
2023-01-04 14,24,13
2023-01-04 15,30,14
