date,pm10,pm25,
2022-12-16 01,51,21,
2022-12-16 02,46,12,
2022-12-16 03,48,11,
2022-12-16 04,47,13,
2022-12-16 05,43,12,
2022-12-16 06,47,13,
2022-12-16 07,52,24,
2022-12-16 08,58,33,
2022-12-16 09,69,30,
2022-12-16 10,70,18,
2022-12-16 11,50,9,
2022-12-16 12,31,6,
2022-12-16 13,23,5,
2022-12-16 14,15,3,
2022-12-16 15,12,2,
2022-12-16 16,14,4,
2022-12-16 17,15,5,
2022-12-16 18,19,5,
2022-12-16 19,19,5,
2022-12-16 20,17,4,
2022-12-16 21,17,2,
2022-12-16 22,12,4,
2022-12-16 23,11,6,
2022-12-17 00,11,6,
2022-12-17 01,13,6,
2022-12-17 02,11,4,
2022-12-17 03,11,3,
2022-12-17 04,14,4,
2022-12-17 05,15,5,
2022-12-17 06,14,6,
2022-12-17 07,17,8,
2022-12-17 08,18,7,
2022-12-17 09,14,6,
2022-12-17 10,17,7,
2022-12-17 11,22,6,
2022-12-17 12,20,9,
2022-12-17 13,21,8,
2022-12-17 14,23,6,
2022-12-17 15,23,6,
2022-12-17 16,18,6,
2022-12-17 17,17,6,
2022-12-17 18,27,8,
2022-12-17 19,35,8,
2022-12-17 20,40,9,
2022-12-17 21,35,11,
2022-12-17 22,33,13,
2022-12-17 23,29,13,
2022-12-18 00,28,8,
2022-12-18 01,30,11,
2022-12-18 02,31,12,
2022-12-18 03,32,12,
2022-12-18 04,32,9,
2022-12-18 05,25,11,
2022-12-18 06,23,10,
2022-12-18 07,24,15,
2022-12-18 08,26,14,
2022-12-18 09,25,12,
2022-12-18 10,24,11,
2022-12-18 11,18,7,
2022-12-18 12,14,7,
2022-12-18 13,15,10,
2022-12-18 14,15,8,
2022-12-18 15,15,9,
2022-12-18 16,18,7,
2022-12-18 17,23,9,
2022-12-18 18,23,7,
2022-12-18 19,27,9,
2022-12-18 20,27,9,
2022-12-18 21,23,12,
2022-12-18 22,21,10,
2022-12-18 23,19,12,
2022-12-19 00,20,11,
2022-12-19 01,20,12,
2022-12-19 02,26,9,
2022-12-19 03,32,10,
2022-12-19 04,27,12,
2022-12-19 05,21,11,
2022-12-19 06,32,12,
2022-12-19 07,42,13,
2022-12-19 08,41,11,
2022-12-19 09,37,15,
2022-12-19 10,37,16,
2022-12-19 11,35,23,
2022-12-19 12,38,11,
2022-12-19 13,38,8,
2022-12-19 14,35,6,
2022-12-19 15,,,
2022-12-19 16,,17,
2022-12-19 17,,20,
2022-12-19 18,,17,
2022-12-19 19,,22,
2022-12-19 20,,26,
2022-12-19 21,,27,
2022-12-19 22,,25,
2022-12-19 23,,21,
2022-12-20 00,,23,
2022-12-20 01,,29,
2022-12-20 02,,17,
2022-12-20 03,,20,
2022-12-20 04,,19,
