일시,기온,풍향(16방위),풍속(m/s),상대습도(%)
2023-01-01 0:05,-0.8,242.5,0.1,66
2023-01-01 0:10,-0.8,212.3,0.2,67
2023-01-01 0:15,-0.9,268.3,0.3,68
2023-01-01 0:20,-1,202.7,0.3,67
2023-01-01 0:25,-1.1,179.6,0.1,67
2023-01-01 0:30,-1.1,216.3,0.1,67
2023-01-01 0:35,-1,198.5,0.1,67
2023-01-01 0:40,-1.1,193.9,0.2,67
2023-01-01 0:45,-1.3,190.6,0.5,68
2023-01-01 0:50,-1.2,185.5,0.1,68
2023-01-01 0:55,-1.2,217.4,0.1,68
2023-01-01 1:00,-1.2,189.5,0.1,68
2023-01-01 1:05,-1.2,182.2,0.6,69
2023-01-01 1:10,-1.3,199.7,1,70
2023-01-01 1:15,-1.3,197,0.3,72
2023-01-01 1:20,-1.4,196.4,0.1,71
2023-01-01 1:25,-1.5,176.9,0.1,71
2023-01-01 1:30,-1.7,176.3,0.1,72
2023-01-01 1:35,-1.6,187.7,0.1,73
2023-01-01 1:40,-1.7,202.6,0.1,71
2023-01-01 1:45,-1.8,212.8,0.1,72
2023-01-01 1:50,-1.8,221.1,0.1,72
2023-01-01 1:55,-1.8,248.7,0.1,72
2023-01-01 2:00,-1.8,233.4,0.1,72
2023-01-01 2:05,-1.9,222.2,0.1,71
2023-01-01 2:10,-1.9,222.4,0.1,70
2023-01-01 2:15,-1.9,209,0.1,70
2023-01-01 2:20,-1.9,253.7,0,70
2023-01-01 2:25,-1.9,315.4,0,70
2023-01-01 2:30,-2.1,245.9,0,70
2023-01-01 2:35,-2.3,232,0.1,70
2023-01-01 2:40,-2.3,239.7,0.1,71
2023-01-01 2:45,-2.2,216.6,0.1,71
2023-01-01 2:50,-2.2,233.2,0.1,71
2023-01-01 2:55,-2.2,195,0.1,71
2023-01-01 3:00,-2.3,174.7,0.1,71
2023-01-01 3:05,-2.4,177,0.1,71
2023-01-01 3:10,-2.5,185.1,0.1,71
2023-01-01 3:15,-2.6,162.2,0.1,72
2023-01-01 3:20,-2.6,201.5,0.1,72
2023-01-01 3:25,-2.5,209.5,0.1,71
2023-01-01 3:30,-2.5,186.2,0.1,71
2023-01-01 3:35,-2.6,257.3,0.1,71
2023-01-01 3:40,-2.6,285.6,0.1,70
2023-01-01 3:45,-2.7,232.9,0.1,70
2023-01-01 3:50,-2.8,232.1,0.1,70
2023-01-01 3:55,-2.7,198.2,0.1,70
2023-01-01 4:00,-2.8,223.6,0.1,71
2023-01-01 4:05,-2.9,202.7,0.1,71
2023-01-01 4:10,-2.9,198.8,0.1,71
2023-01-01 4:15,-3,212.5,0.1,71
2023-01-01 4:20,-3,214.8,0.1,71
2023-01-01 4:25,-3.1,195.2,0.1,72
2023-01-01 4:30,-3.1,213.6,0.1,73
2023-01-01 4:35,-3.2,227,0.1,73
2023-01-01 4:40,-3.1,213.9,0.1,72
2023-01-01 4:45,-3.2,220.7,0.1,72
2023-01-01 4:50,-3.2,140.8,0,73
2023-01-01 4:55,-3.2,219.8,0.1,73
2023-01-01 5:00,-3.3,272.5,0.1,72
2023-01-01 5:05,-3.3,217.2,0.1,71
2023-01-01 5:10,-3.3,288.3,0.1,71
2023-01-01 5:15,-3.3,221.7,0.1,71
2023-01-01 5:20,-3.3,253.9,0.1,72
2023-01-01 5:25,-3.4,248.6,0.1,72
2023-01-01 5:30,-3.4,301.3,0.1,72
2023-01-01 5:35,-3.3,253.6,0.1,72
2023-01-01 5:40,-3.4,265.2,0.1,72
2023-01-01 5:45,-3.5,232.3,0.1,72
