일시,기온,풍향(16방위),풍속(m/s),상대습도(%)
2022-12-01 0:05,-1.2,317.7,2.7,32.9
2022-12-01 0:10,-1.1,321.3,3.6,32.9
2022-12-01 0:15,-1.1,315.9,2.9,32.8
2022-12-01 0:20,-1.1,318.2,3,33.1
2022-12-01 0:25,-1.1,318,3.4,33.2
2022-12-01 0:30,-1.1,322.7,4.2,33.2
2022-12-01 0:35,-1.2,326.9,4.1,33.2
2022-12-01 0:40,-1.1,326.6,4.2,33.1
2022-12-01 0:45,-1.1,321.5,4.3,32.9
2022-12-01 0:50,-1.2,329.6,3.6,33.7
2022-12-01 0:55,-1.3,327.1,4,34
2022-12-01 1:00,-1.2,333.4,3.1,34
2022-12-01 1:05,-1.2,325.9,2.4,34.2
2022-12-01 1:10,-1.2,338.1,2.8,34.1
2022-12-01 1:15,-1.2,333.1,3.2,34.1
2022-12-01 1:20,-1.3,355.9,3.8,34.5
2022-12-01 1:25,-1.4,341.2,4.2,34.9
2022-12-01 1:30,-1.5,350.1,3.1,35.9
2022-12-01 1:35,-1.5,335.1,2.6,36.4
2022-12-01 1:40,-1.5,346.5,2.5,36.9
2022-12-01 1:45,-1.4,321.8,3.2,37.1
2022-12-01 1:50,-1.4,332.9,2.3,37.4
2022-12-01 1:55,-1.4,342.5,2.3,37.6
2022-12-01 2:00,-1.5,330.7,2.9,37.9
2022-12-01 2:05,-1.5,343.6,3.6,38.2
2022-12-01 2:10,-1.6,344.9,2.4,38.8
2022-12-01 2:15,-1.5,352.6,2.4,39.3
2022-12-01 2:20,-1.6,347,3,39.5
2022-12-01 2:25,-1.6,334.1,2.5,39.7
2022-12-01 2:30,-1.6,353.5,2.6,40
2022-12-01 2:35,-1.6,340,2.9,40.3
2022-12-01 2:40,-1.6,341.5,3.8,40.4
2022-12-01 2:45,-1.6,335.7,3.3,40.6
2022-12-01 2:50,-1.6,333.3,3.4,40.7
2022-12-01 2:55,-1.5,334.4,3.7,40.9
2022-12-01 3:00,-1.6,343.6,3.8,41
2022-12-01 3:05,-1.6,342.1,3.5,41.3
2022-12-01 3:10,-1.6,349.2,3,41.4
2022-12-01 3:15,-1.6,344.3,4.4,41.5
2022-12-01 3:20,-1.7,338.7,3.7,41.6
2022-12-01 3:25,-1.7,345.3,3.4,41.9
2022-12-01 3:30,-1.6,353.9,2.8,42.1
2022-12-01 3:35,-1.6,7.5,2.6,42.1
2022-12-01 3:40,-1.6,352.3,2.8,42.1
2022-12-01 3:45,-1.5,351.9,3.1,42.2
2022-12-01 3:50,-1.6,350.5,2.1,42.3
2022-12-01 3:55,-1.6,1.7,2.9,42.3
2022-12-01 4:00,-1.5,347.7,3,42.4
2022-12-01 4:05,-1.5,341.9,2.1,42.5
2022-12-01 4:10,-1.5,349,2.1,42.2
2022-12-01 4:15,-1.5,352.6,2,42.1
2022-12-01 4:20,-1.5,357,2.8,42.2
2022-12-01 4:25,-1.5,341.4,1.5,42.7
2022-12-01 4:30,-1.5,332.1,2.6,43
2022-12-01 4:35,-1.5,350.1,2.1,43.5
2022-12-01 4:40,-1.5,11.4,1.5,44
2022-12-01 4:45,-1.6,5.2,2.5,44.1
2022-12-01 4:50,-1.6,336.6,3.1,44
2022-12-01 4:55,-1.6,350,2.7,44.1
2022-12-01 5:00,-1.6,346.8,2.9,44.4
2022-12-01 5:05,-1.6,340.6,2.2,44.8
2022-12-01 5:10,-1.6,348.8,1.6,45.2
2022-12-01 5:15,-1.6,349,2.3,45.4
2022-12-01 5:20,-1.6,346.9,2.3,45.8
2022-12-01 5:25,-1.6,344.6,3.1,46
2022-12-01 5:30,-1.6,335,2.4,46.1
2022-12-01 5:35,-1.6,322,2.5,46.1
2022-12-01 5:40,-1.6,334.6,2.3,46.1
2022-12-01 5:45,-1.6,337.1,2.8,46.2
2022-12-01 5:50,-1.6,338.9,2.8,46.1
2022-12-01 5:55,-1.6,340.7,2.9,46.3
2022-12-01 6:00,-1.6,336.7,2.6,46.3
2022-12-01 6:05,-1.6,349.1,3.3,45.9
