지점,일시,기온(℃),0.1mm 일 누적 강수량(mm),0.5mm 일 누적 강수량(mm),풍향(16방위),풍속(m/s),상대습도(%),현지기압(hPa),해면기압(hPa),일 누적 일사(MJ/m2),일 누적 일조(hr)
8255,2023-04-01 00:05,12.5,,,216.6,.8,51,,,,
8255,2023-04-01 00:10,12.4,,,230,.4,51,,,,
8255,2023-04-01 00:15,12.3,,,222.9,.7,51,,,,
8255,2023-04-01 00:20,12.3,,,237,.6,51,,,,
8255,2023-04-01 00:25,12.2,,,271.7,.5,52,,,,
8255,2023-04-01 00:30,12.1,,,359.7,.6,52,,,,
8255,2023-04-01 00:35,12.1,,,256.3,.2,52,,,,
8255,2023-04-01 00:40,12.1,,,251.9,.7,52,,,,
8255,2023-04-01 00:45,11.9,,,267.4,.7,53,,,,
8255,2023-04-01 00:50,11.8,,,225,.5,53,,,,
8255,2023-04-01 00:55,11.7,,,218.3,.8,53,,,,
8255,2023-04-01 01:00,11.5,,,222.8,.7,54,,,,
8255,2023-04-01 01:05,11.2,,,226.2,.7,55,,,,
8255,2023-04-01 01:10,11,,,236.1,.5,56,,,,
8255,2023-04-01 01:15,11,,,222.6,.6,56,,,,
8255,2023-04-01 01:20,11,,,214.8,.3,55,,,,
8255,2023-04-01 01:25,11,,,214.3,.7,55,,,,
8255,2023-04-01 01:30,11.1,,,224.8,.5,55,,,,
8255,2023-04-01 01:35,10.9,,,198.6,1,56,,,,
8255,2023-04-01 01:40,10.8,,,202.9,.9,57,,,,
8255,2023-04-01 01:45,10.6,,,209.3,.2,58,,,,
8255,2023-04-01 01:50,10.5,,,212.4,.5,58,,,,
8255,2023-04-01 01:55,10.6,,,189.4,.7,58,,,,
8255,2023-04-01 02:00,10.6,,,208.5,.8,58,,,,
8255,2023-04-01 02:05,10.6,,,217.2,.6,58,,,,
8255,2023-04-01 02:10,10.5,,,243.5,.3,58,,,,
8255,2023-04-01 02:15,10.5,,,220.2,.4,58,,,,
8255,2023-04-01 02:20,10.5,,,203.8,.9,59,,,,
8255,2023-04-01 02:25,10.4,,,204.9,.7,59,,,,
8255,2023-04-01 02:30,10.3,,,219.1,.4,59,,,,
8255,2023-04-01 02:35,10.2,,,241,.2,59,,,,
8255,2023-04-01 02:40,10.1,,,197.7,.5,59,,,,
8255,2023-04-01 02:45,10.1,,,194.9,.6,60,,,,
8255,2023-04-01 02:50,10.1,,,236.3,.5,60,,,,
8255,2023-04-01 02:55,10,,,230.5,.7,60,,,,
8255,2023-04-01 03:00,10,,,195.5,.9,60,,,,
8255,2023-04-01 03:05,9.9,,,194.9,.9,61,,,,
8255,2023-04-01 03:10,9.8,,,225.7,.8,61,,,,
8255,2023-04-01 03:15,9.7,,,224.5,.5,62,,,,
8255,2023-04-01 03:20,9.7,,,203.8,.8,63,,,,
8255,2023-04-01 03:25,9.6,,,203.9,.7,64,,,,
8255,2023-04-01 03:30,9.6,,,226.1,.6,63,,,,
8255,2023-04-01 03:35,9.5,,,251.7,.5,63,,,,
8255,2023-04-01 03:40,9.4,,,204.6,.9,63,,,,
8255,2023-04-01 03:45,9.4,,,204.1,.9,63,,,,
8255,2023-04-01 03:50,9.2,,,228.2,.8,63,,,,
8255,2023-04-01 03:55,9.2,,,222.3,.4,64,,,,
8255,2023-04-01 04:00,9.1,,,241.1,.3,64,,,,
8255,2023-04-01 04:05,9,,,264.5,.9,64,,,,
8255,2023-04-01 04:10,9,,,291.7,.6,63,,,,
8255,2023-04-01 04:15,9,,,149.9,.2,63,,,,
8255,2023-04-01 04:20,8.9,,,167.1,.1,64,,,,
8255,2023-04-01 04:25,8.8,,,212.8,.1,64,,,,
8255,2023-04-01 04:30,8.9,,,211.4,.6,65,,,,
8255,2023-04-01 04:35,8.9,,,208,.5,65,,,,
8255,2023-04-01 04:40,8.9,,,206.7,.5,64,,,,
8255,2023-04-01 04:45,8.8,,,260.2,.7,64,,,,
8255,2023-04-01 04:50,8.7,,,261.4,.7,64,,,,
8255,2023-04-01 04:55,8.5,,,281.8,.7,64,,,,
8255,2023-04-01 05:00,8.3,,,281.1,.7,66,,,,
8255,2023-04-01 05:05,8.2,,,299.4,.6,66,,,,
8255,2023-04-01 05:10,8.2,,,273.1,.4,66,,,,
8255,2023-04-01 05:15,8.2,,,237.1,.4,66,,,,
8255,2023-04-01 05:20,8.2,,,227.5,.4,66,,,,
8255,2023-04-01 05:25,8.2,,,217.7,.5,66,,,,
8255,2023-04-01 05:30,8.2,,,210.7,.8,66,,,,
8255,2023-04-01 05:35,8.2,,,222.6,.9,67,,,,
8255,2023-04-01 05:40,8.1,,,219.6,.7,67,,,,
8255,2023-04-01 05:45,8,,,257.6,.5,67,,,,
8255,2023-04-01 05:50,7.9,,,228.1,.5,68,,,,
8255,2023-04-01 05:55,7.8,,,259.2,.3,68,,,,
8255,2023-04-01 06:00,7.7,,,222.2,.3,68,,,,
8255,2023-04-01 06:05,7.7,,,194.9,.7,68,,,,
8255,2023-04-01 06:10,7.8,,,196.1,.7,68,,,,
8255,2023-04-01 06:15,7.8,,,198.3,.9,68,,,,
8255,2023-04-01 06:20,7.9,,,194.5,.7,68,,,,
8255,2023-04-01 06:25,7.9,,,183.2,.3,68,,,,
8255,2023-04-01 06:30,8,,,187.2,.2,68,,,,
