지점,일시,기온(℃),0.1mm 일 누적 강수량(mm),0.5mm 일 누적 강수량(mm),풍향(16방위),풍속(m/s),상대습도(%),현지기압(hPa),해면기압(hPa),일 누적 일사(MJ/m2),일 누적 일조(hr)
8257,2023-02-01 00:05,1.3,,,11,.4,75,,,,
8257,2023-02-01 00:10,1.3,,,100,.5,76,,,,
8257,2023-02-01 00:15,1.2,,,84,.4,77,,,,
8257,2023-02-01 00:20,1.2,,,41,.5,77,,,,
8257,2023-02-01 00:25,1.1,,,52,.4,77,,,,
8257,2023-02-01 00:30,1,,,38,.3,77,,,,
8257,2023-02-01 00:35,1,,,32,.4,77,,,,
8257,2023-02-01 00:40,.9,,,56,.5,77,,,,
8257,2023-02-01 00:45,.8,,,44,.5,77,,,,
8257,2023-02-01 00:50,.8,,,30,.5,77,,,,
8257,2023-02-01 00:55,.8,,,23,.3,77,,,,
8257,2023-02-01 01:00,.8,,,29,.1,77,,,,
8257,2023-02-01 01:05,.8,,,52,.3,77,,,,
8257,2023-02-01 01:10,.8,,,342,.2,77,,,,
8257,2023-02-01 01:15,.7,,,184,.3,77,,,,
8257,2023-02-01 01:20,.8,,,44,.1,76,,,,
8257,2023-02-01 01:25,.6,,,339,.1,76,,,,
8257,2023-02-01 01:30,.5,,,353,.1,75,,,,
8257,2023-02-01 01:35,.5,,,107,.3,76,,,,
8257,2023-02-01 01:40,.6,,,98,.2,77,,,,
8257,2023-02-01 01:45,.6,,,90,.4,77,,,,
8257,2023-02-01 01:50,.6,,,109,.4,77,,,,
8257,2023-02-01 01:55,.5,,,119,.2,78,,,,
8257,2023-02-01 02:00,.5,,,130,.5,78,,,,
8257,2023-02-01 02:05,.4,,,360,.2,78,,,,
8257,2023-02-01 02:10,.3,,,111,.7,79,,,,
8257,2023-02-01 02:15,.3,,,67,.4,80,,,,
8257,2023-02-01 02:20,.4,,,119,.3,80,,,,
8257,2023-02-01 02:25,.3,,,104,.2,80,,,,
8257,2023-02-01 02:30,.3,,,119,.2,80,,,,
8257,2023-02-01 02:35,.2,,,107,.1,80,,,,
8257,2023-02-01 02:40,.2,,,101,.1,80,,,,
8257,2023-02-01 02:45,.3,,,345,.2,80,,,,
8257,2023-02-01 02:50,.2,,,337,.1,80,,,,
8257,2023-02-01 02:55,.1,,,12,.3,78,,,,
8257,2023-02-01 03:00,0,,,27,.1,78,,,,
8257,2023-02-01 03:05,-.1,,,359,.2,77,,,,
8257,2023-02-01 03:10,-.2,,,348,.2,78,,,,
8257,2023-02-01 03:15,-.2,,,1,.4,78,,,,
8257,2023-02-01 03:20,-.3,,,346,.4,78,,,,
8257,2023-02-01 03:25,-.3,,,324,.4,78,,,,
8257,2023-02-01 03:30,-.3,,,318,.4,78,,,,
8257,2023-02-01 03:35,-.4,,,320,.5,79,,,,
8257,2023-02-01 03:40,-.5,,,344,.5,80,,,,
8257,2023-02-01 03:45,-.6,,,326,.6,80,,,,
8257,2023-02-01 03:50,-.6,,,313,.2,81,,,,
8257,2023-02-01 03:55,-.6,,,331,.1,81,,,,
8257,2023-02-01 04:00,-.6,,,128,.1,81,,,,
8257,2023-02-01 04:05,-.4,,,90,.1,80,,,,
8257,2023-02-01 04:10,-.4,,,329,.3,80,,,,
8257,2023-02-01 04:15,-.4,,,321,.2,80,,,,
8257,2023-02-01 04:20,-.4,,,330,.5,80,,,,
8257,2023-02-01 04:25,-.4,,,335,.1,79,,,,
8257,2023-02-01 04:30,-.3,,,316,.1,79,,,,
8257,2023-02-01 04:35,-.3,,,329,.4,79,,,,
