지점,일시,기온(℃),0.1mm 일 누적 강수량(mm),0.5mm 일 누적 강수량(mm),풍향(16방위),풍속(m/s),상대습도(%),현지기압(hPa),해면기압(hPa),일 누적 일사(MJ/m2),일 누적 일조(hr)
8256,2023-01-01 0:05,-1.3,,,171.4,0.5,69,,,,
8256,2023-01-01 0:10,-1.4,,,152.2,0.2,69.7,,,,
8256,2023-01-01 0:15,-1.4,,,134.9,0.3,70.2,,,,
8256,2023-01-01 0:20,-1.5,,,141.5,0.1,70.5,,,,
8256,2023-01-01 0:25,-1.5,,,178.4,0.6,70.8,,,,
8256,2023-01-01 0:30,-1.2,,,166.5,0.6,68.9,,,,
8256,2023-01-01 0:35,-1.3,,,168.2,0.5,68.4,,,,
8256,2023-01-01 0:40,-1.4,,,87.1,0,68.7,,,,
8256,2023-01-01 0:45,-1.7,,,310.1,0.3,69.7,,,,
8256,2023-01-01 0:50,-1.7,,,322.3,0.4,68.4,,,,
8256,2023-01-01 0:55,-1.9,,,310.7,0.3,68.7,,,,
8256,2023-01-01 1:00,-1.9,,,350.8,0.7,69.3,,,,
8256,2023-01-01 1:05,-1.9,,,311.1,0.5,69.9,,,,
8256,2023-01-01 1:10,-1.9,,,312.1,0.5,69.4,,,,
8256,2023-01-01 1:15,-2.1,,,279.1,0.1,70.2,,,,
8256,2023-01-01 1:20,-2.2,,,97.1,0.1,70.4,,,,
8256,2023-01-01 1:25,-2.2,,,329.1,0.4,70.3,,,,
8256,2023-01-01 1:30,-2.3,,,172.6,0.4,70.6,,,,
8256,2023-01-01 1:35,-2.1,,,174.1,0.6,70.2,,,,
8256,2023-01-01 1:40,-2.2,,,312.3,0.2,70.6,,,,
8256,2023-01-01 1:45,-2.3,,,314.5,0.8,70.7,,,,
8256,2023-01-01 1:50,-2.4,,,310.1,0.6,71,,,,
8256,2023-01-01 1:55,-2.6,,,331.9,0.6,72.2,,,,
8256,2023-01-01 2:00,-2.6,,,310.4,0.9,72.4,,,,
8256,2023-01-01 2:05,-2.7,,,321.4,0.9,72.9,,,,
8256,2023-01-01 2:10,-2.7,,,190.4,0.3,72.8,,,,
8256,2023-01-01 2:15,-2.7,,,308.5,0.7,72.9,,,,
8256,2023-01-01 2:20,-2.8,,,310.7,0.6,74.2,,,,
8256,2023-01-01 2:25,-2.8,,,332.3,0.6,73.4,,,,
8256,2023-01-01 2:30,-2.9,,,325.8,0.6,73.2,,,,
8256,2023-01-01 2:35,-3,,,315.6,1.1,73,,,,
8256,2023-01-01 2:40,-3.1,,,314.9,0.6,73.1,,,,
8256,2023-01-01 2:45,-3.1,,,340.1,0.5,73,,,,
8256,2023-01-01 2:50,-3.2,,,113.4,0.1,73.7,,,,
8256,2023-01-01 2:55,-3,,,171.5,0.6,73.2,,,,
8256,2023-01-01 3:00,-3,,,176.7,0.3,73,,,,
8256,2023-01-01 3:05,-3,,,319.6,0.4,72.7,,,,
8256,2023-01-01 3:10,-3.1,,,314.7,0.6,72.7,,,,
8256,2023-01-01 3:15,-3.2,,,313.7,0.7,72.9,,,,
8256,2023-01-01 3:20,-3.2,,,300.2,0.4,73,,,,
8256,2023-01-01 3:25,-3.3,,,334.9,0.2,73.3,,,,
8256,2023-01-01 3:30,-3.4,,,335.7,1,73.5,,,,
8256,2023-01-01 3:35,-3.6,,,327.1,0.8,73.5,,,,
