Date,PM2.5,PM10,SO2,NO2,O3
2021-08-10 13:00,7.46,7.46,0.014,0.047,0.03
2021-08-10 14:00,6.97,6.97,0.009,0.039,0.03
2021-08-10 15:00,6.54,6.54,0.007,0.028,0.027
2021-08-10 16:00,6.52,6.52,0.006,0.026,0.028
2021-08-10 17:00,6.4,6.4,0.005,0.014,0.019
2021-08-10 18:00,7.11,7.11,0.005,0.028,0.032
2021-08-10 19:00,6.83,6.83,0.005,0.027,0.031
2021-08-10 20:00,7.11,7.11,0.005,0.039,0.038
2021-08-10 21:00,7.71,7.71,0.005,0.044,0.039
2021-08-10 22:00,7.82,7.82,0.004,0.04,0.034
2021-08-10 23:00,7.9,7.9,0.004,0.036,0.031
2021-08-11 0:00,8.09,8.09,0.004,0.038,0.029
2021-08-11 1:00,8.01,8.01,0.004,0.035,0.027
2021-08-11 2:00,7.85,7.85,0.004,0.035,0.026
2021-08-11 3:00,7.52,7.52,0.004,0.032,0.024
2021-08-11 4:00,8.07,8.07,0.004,0.031,0.024
2021-08-11 5:00,8.2,8.2,0.004,0.031,0.023
2021-08-11 6:00,9.4,9.4,0.004,0.034,0.024
2021-08-11 7:00,9.73,9.73,0.004,0.033,0.022
2021-08-11 8:00,9.88,9.88,0.004,0.027,0.019
2021-08-11 9:00,9.76,9.76,0.004,0.015,0.014
2021-08-11 10:00,8.56,8.56,0.003,0.004,0.008
2021-08-11 11:00,9.74,9.74,0.004,0.003,0.01
2021-08-11 12:00,9.9,9.9,0.003,0.002,0.008
2021-08-11 13:00,9.92,9.92,0.004,0.002,0.012
2021-08-11 14:00,9.37,9.37,0.004,0.002,0.015
2021-08-11 15:00,8.86,8.86,0.004,0.003,0.02
2021-08-11 16:00,8.84,8.84,0.004,0.003,0.02
2021-08-11 17:00,9.45,9.45,0.005,0.01,0.035
2021-08-11 18:00,10.22,10.22,0.005,0.01,0.038
2021-08-11 19:00,10.74,10.74,0.007,0.037,0.054
2021-08-11 20:00,11.9,11.9,0.008,0.077,0.073
2021-08-11 21:00,13.06,13.07,0.006,0.07,0.067
2021-08-11 22:00,14.2,14.21,0.005,0.063,0.057
2021-08-11 23:00,14.21,14.24,0.004,0.053,0.049
2021-08-12 0:00,14.23,14.24,0.004,0.044,0.04
2021-08-12 1:00,13.43,13.44,0.004,0.041,0.037
2021-08-12 2:00,12.05,12.06,0.004,0.033,0.031
2021-08-12 3:00,12.43,12.44,0.004,0.032,0.028
2021-08-12 4:00,10.96,10.96,0.004,0.033,0.028
2021-08-12 5:00,11.55,11.56,0.004,0.033,0.027
2021-08-12 6:00,16.72,16.74,0.004,0.036,0.024
2021-08-12 7:00,15.91,15.94,0.004,0.036,0.024
2021-08-12 8:00,15.8,15.8,0.004,0.028,0.021
2021-08-12 9:00,12.57,12.58,0.004,0.015,0.017
2021-08-12 10:00,9.88,9.88,0.004,0.007,0.011
2021-08-12 11:00,9.66,9.66,0.004,0.002,0.008
2021-08-12 12:00,10.31,10.31,0.004,0.002,0.016
2021-08-12 13:00,11.56,11.56,0.004,0.002,0.029
2021-08-12 14:00,12.18,12.18,0.004,0.004,0.041
2021-08-12 15:00,12.42,12.42,0.005,0.021,0.055
2021-08-12 16:00,15.8,15.84,0.005,0.035,0.065
2021-08-12 17:00,14.26,14.26,0.005,0.017,0.054
2021-08-12 18:00,13.79,13.8,0.005,0.023,0.056
2021-08-12 19:00,13.88,13.88,0.006,0.045,0.064
2021-08-12 20:00,14.79,14.81,0.005,0.052,0.061
2021-08-12 21:00,15.36,15.37,0.005,0.052,0.06
2021-08-12 22:00,14.21,14.23,0.004,0.033,0.047
2021-08-12 23:00,11.02,11.02,0.004,0.022,0.045
2021-08-13 0:00,13.7,13.7,0.004,0.038,0.051
2021-08-13 1:00,12.49,12.5,0.004,0.035,0.043
2021-08-13 2:00,12.55,12.58,0.004,0.031,0.039
2021-08-13 3:00,11.8,11.81,0.004,0.027,0.036
2021-08-13 4:00,10.83,10.84,0.004,0.024,0.034
2021-08-13 5:00,11.01,11.05,0.004,0.025,0.034
2021-08-13 6:00,10.94,10.98,0.004,0.032,0.037
2021-08-13 7:00,10.69,10.73,0.004,0.036,0.038
2021-08-13 8:00,11.86,11.93,0.004,0.03,0.034
2021-08-13 9:00,13.31,13.36,0.004,0.027,0.029
2021-08-13 10:00,10.38,10.39,0.004,0.012,0.019
2021-08-13 11:00,9.02,9.03,0.004,0.007,0.02
2021-08-13 12:00,9.53,9.54,0.004,0.018,0.033
2021-08-13 13:00,10.18,10.19,0.004,0.022,0.039
2021-08-13 14:00,9.81,9.82,0.004,0.016,0.034
2021-08-13 15:00,10.07,10.07,0.004,0.014,0.035
2021-08-13 16:00,10.29,10.3,0.004,0.012,0.036
2021-08-13 17:00,9.81,9.81,0.004,0.014,0.04
2021-08-13 18:00,10.4,10.4,0.005,0.022,0.049
2021-08-13 19:00,10.53,10.53,0.005,0.043,0.054
2021-08-13 20:00,11.32,11.33,0.005,0.057,0.059
2021-08-13 21:00,12,12.02,0.005,0.054,0.051
2021-08-13 22:00,12.19,12.21,0.004,0.05,0.046
2021-08-13 23:00,10.91,10.93,0.004,0.028,0.034
2021-08-14 0:00,10.35,10.38,0.004,0.021,0.031
2021-08-14 1:00,10.18,10.23,0.004,0.023,0.033
2021-08-14 2:00,9.32,9.36,0.004,0.024,0.036
2021-08-14 3:00,10.39,10.44,0.004,0.034,0.037
2021-08-14 4:00,10.26,10.33,0.004,0.037,0.035
2021-08-14 5:00,9.39,9.44,0.004,0.033,0.033
2021-08-14 6:00,10.1,10.18,0.004,0.038,0.031
2021-08-14 7:00,11.53,11.62,0.004,0.038,0.03
2021-08-14 8:00,11.4,11.49,0.004,0.029,0.026
2021-08-14 9:00,10.37,10.43,0.004,0.02,0.022
2021-08-14 10:00,9.72,9.76,0.004,0.013,0.019
2021-08-14 11:00,8.19,8.23,0.004,0.009,0.017
2021-08-14 12:00,7.46,7.5,0.004,0.014,0.026
2021-08-14 13:00,6.84,6.86,0.004,0.013,0.026
2021-08-14 14:00,6.51,6.52,0.004,0.011,0.025
2021-08-14 15:00,6.57,6.58,0.004,0.006,0.021
2021-08-14 16:00,6.19,6.21,0.004,0.007,0.028
2021-08-14 17:00,5.95,5.96,0.004,0.011,0.036
2021-08-14 18:00,5.59,5.6,0.005,0.028,0.047
2021-08-14 19:00,5.59,5.6,0.005,0.061,0.061
2021-08-14 20:00,5.86,5.88,0.005,0.058,0.048
2021-08-14 21:00,6.56,6.58,0.005,0.051,0.042
2021-08-14 22:00,7.08,7.12,0.004,0.042,0.035
2021-08-14 23:00,7.65,7.71,0.004,0.034,0.031
2021-08-15 0:00,8.18,8.26,0.004,0.031,0.028
2021-08-15 1:00,8.96,9.06,0.004,0.033,0.027
2021-08-15 2:00,8.88,8.97,0.004,0.031,0.026
2021-08-15 3:00,8.86,8.96,0.004,0.029,0.025
2021-08-15 4:00,8.96,9.08,0.004,0.029,0.023
2021-08-15 5:00,9.16,9.26,0.004,0.03,0.022
2021-08-15 6:00,10.98,11.08,0.004,0.031,0.022
2021-08-15 7:00,9.73,9.82,0.004,0.029,0.021
2021-08-15 8:00,11.05,11.13,0.004,0.02,0.016
2021-08-15 9:00,9.38,9.46,0.004,0.009,0.01
2021-08-15 10:00,6.72,6.75,0.004,0.003,0.007
2021-08-15 11:00,5.91,5.93,0.004,0.002,0.012
2021-08-15 12:00,6.25,6.27,0.004,0.002,0.018
2021-08-15 13:00,6.4,6.42,0.004,0.002,0.02
2021-08-15 14:00,6.32,6.33,0.004,0.003,0.023
2021-08-15 15:00,5.9,5.92,0.004,0.002,0.023
2021-08-15 16:00,5.67,5.7,0.004,0.002,0.02
2021-08-15 17:00,5.73,5.75,0.004,0.003,0.03
2021-08-15 18:00,6.3,6.32,0.006,0.036,0.057
2021-08-15 19:00,6.57,6.6,0.006,0.053,0.066
2021-08-15 20:00,6.73,6.76,0.005,0.044,0.059
2021-08-15 21:00,6.49,6.52,0.005,0.041,0.049
2021-08-15 22:00,5.09,5.1,0.004,0.032,0.042
2021-08-15 23:00,4.9,4.9,0.004,0.03,0.039
2021-08-16 0:00,5.22,5.22,0.004,0.033,0.037
2021-08-16 1:00,5.53,5.55,0.004,0.035,0.036
2021-08-16 2:00,6.4,6.43,0.004,0.034,0.033
2021-08-16 3:00,6.74,6.76,0.004,0.028,0.03
2021-08-16 4:00,6.74,6.76,0.004,0.031,0.03
2021-08-16 5:00,7.17,7.2,0.004,0.031,0.03
2021-08-16 6:00,7.01,7.03,0.004,0.032,0.029
2021-08-16 7:00,7.53,7.58,0.004,0.028,0.028
2021-08-16 8:00,7.69,7.74,0.004,0.019,0.018
2021-08-16 9:00,7.01,7.04,0.004,0.006,0.009
2021-08-16 10:00,7.56,7.59,0.004,0.003,0.012
2021-08-16 11:00,8.14,8.21,0.004,0.005,0.021
2021-08-16 12:00,8.79,8.86,0.004,0.005,0.027
2021-08-16 13:00,8.52,8.58,0.004,0.009,0.038
2021-08-16 14:00,8.02,8.06,0.004,0.013,0.041
2021-08-16 15:00,7.99,8.01,0.004,0.011,0.034
2021-08-16 16:00,8.56,8.62,0.004,0.009,0.032
2021-08-16 17:00,9.15,9.19,0.004,0.013,0.036
2021-08-16 18:00,9.45,9.52,0.005,0.024,0.045
2021-08-16 19:00,9.88,9.96,0.005,0.047,0.055
2021-08-16 20:00,10.56,10.66,0.005,0.053,0.054
2021-08-16 21:00,10.68,10.79,0.005,0.036,0.045
2021-08-16 22:00,10.66,10.77,0.004,0.03,0.04
2021-08-16 23:00,10.85,10.95,0.004,0.027,0.038
2021-08-17 0:00,11.27,11.42,0.004,0.024,0.038
2021-08-17 1:00,11.22,11.34,0.004,0.025,0.036
2021-08-17 2:00,10.84,10.96,0.004,0.027,0.036
2021-08-17 3:00,10.49,10.63,0.004,0.028,0.037
2021-08-17 4:00,10.13,10.23,0.004,0.034,0.038
2021-08-17 5:00,11.56,11.73,0.004,0.037,0.037
2021-08-17 6:00,11.97,12.16,0.004,0.042,0.036
2021-08-17 7:00,12.62,12.8,0.004,0.044,0.034
2021-08-17 8:00,13.11,13.28,0.004,0.036,0.03
2021-08-17 9:00,11,11.11,0.004,0.023,0.024
2021-08-17 10:00,9.78,9.84,0.004,0.012,0.018
2021-08-17 11:00,9.21,9.26,0.004,0.01,0.02
2021-08-17 12:00,7.91,7.95,0.004,0.007,0.019
2021-08-17 13:00,7.28,7.31,0.004,0.007,0.023
2021-08-17 14:00,5.78,5.8,0.004,0.008,0.03
2021-08-17 15:00,5.41,5.43,0.004,0.014,0.038
2021-08-17 16:00,5.05,5.07,0.004,0.013,0.037
2021-08-17 17:00,4.65,4.67,0.004,0.016,0.039
2021-08-17 18:00,4.57,4.58,0.004,0.023,0.046
2021-08-17 19:00,4.93,4.95,0.004,0.023,0.043
2021-08-17 20:00,5.5,5.54,0.004,0.031,0.049
2021-08-17 21:00,6.06,6.1,0.004,0.032,0.049
2021-08-17 22:00,6.61,6.66,0.004,0.032,0.047
2021-08-17 23:00,6.9,6.96,0.004,0.035,0.045
2021-08-18 0:00,7.29,7.35,0.004,0.035,0.043
2021-08-18 1:00,7.75,7.81,0.004,0.042,0.04
2021-08-18 2:00,7.98,8.05,0.005,0.041,0.037
2021-08-18 3:00,8.87,9,0.004,0.032,0.042
2021-08-18 4:00,9.23,9.35,0.004,0.031,0.04
