date,PM2.5,PM10,O3,NO2,CO,SO2
2022-11-01 0:00,40,66,0.017,0.018,0.5,0.002
2022-11-01 1:00,44,63,0.018,0.015,0.5,0.002
2022-11-01 2:00,36,50,0.021,0.012,0.4,0.002
2022-11-01 3:00,37,56,0.025,0.01,0.4,0.002
2022-11-01 4:00,37,54,0.015,0.013,0.4,0.001
2022-11-01 5:00,42,46,0.013,0.014,0.4,0.001
2022-11-01 6:00,38,50,0.009,0.015,0.4,0.001
2022-11-01 7:00,37,41,0.006,0.017,0.4,0.002
2022-11-01 8:00,35,42,0.009,0.015,0.4,0.001
2022-11-01 9:00,46,53,0.008,0.015,0.4,0.002
2022-11-01 10:00,48,66,0.012,0.016,0.4,0.002
2022-11-01 11:00,53,68,0.02,0.014,0.4,0.002
2022-11-01 12:00,49,63,0.043,0.01,0.4,0.002
2022-11-01 13:00,35,52,0.056,0.009,0.4,0.002
2022-11-01 14:00,38,53,0.054,0.011,0.4,0.002
2022-11-01 15:00,,,,,,
2022-11-01 16:00,,,,,,
2022-11-01 17:00,,,,,,
2022-11-01 18:00,59,69,,,,
2022-11-01 19:00,81,103,0.05,0.011,0.5,0.002
2022-11-01 20:00,78,102,0.048,0.009,0.5,0.002
2022-11-01 21:00,66,96,0.045,0.01,0.5,0.002
2022-11-01 22:00,70,96,0.042,0.01,0.5,0.002
2022-11-01 23:00,67,92,0.035,0.014,0.6,0.002
2022-11-02 0:00,70,100,0.03,0.014,0.6,0.002
2022-11-02 1:00,60,87,0.028,0.013,0.5,0.002
2022-11-02 2:00,58,87,0.027,0.012,0.4,0.002
2022-11-02 3:00,,84,0.025,0.014,0.4,0.002
2022-11-02 4:00,50,66,0.021,0.013,0.4,0.002
2022-11-02 5:00,49,61,0.023,0.011,0.4,0.001
2022-11-02 6:00,44,52,0.017,0.017,0.4,0.002
2022-11-02 7:00,29,41,0.012,0.018,0.4,0.001
2022-11-02 8:00,29,38,0.009,0.021,0.4,0.002
2022-11-02 9:00,31,46,0.012,0.02,0.4,0.002
2022-11-02 10:00,30,51,0.019,0.018,0.3,0.002
2022-11-02 11:00,27,54,0.031,0.013,0.3,0.003
2022-11-02 12:00,34,55,0.039,0.012,0.3,0.003
2022-11-02 13:00,27,54,0.049,0.009,0.3,0.003
2022-11-02 14:00,28,55,0.051,0.011,0.2,0.003
2022-11-02 15:00,21,41,0.056,0.01,0.2,0.003
2022-11-02 16:00,16,35,0.052,0.01,0.1,0.003
2022-11-02 17:00,19,38,0.05,0.011,0.1,0.003
2022-11-02 18:00,15,31,0.05,0.01,0.1,0.002
2022-11-02 19:00,19,38,0.039,0.011,0.2,0.002
2022-11-02 20:00,19,27,0.035,0.01,0.2,0.002
2022-11-02 21:00,20,31,0.028,0.016,0.2,0.002
2022-11-02 22:00,27,42,0.031,0.016,0.2,0.002
2022-11-02 23:00,32,43,0.023,0.018,0.3,0.002
2022-11-03 0:00,30,42,0.022,0.016,0.2,0.002
2022-11-03 1:00,23,32,0.026,0.012,0.2,0.002
2022-11-03 2:00,22,35,0.027,0.011,0.2,0.002
2022-11-03 3:00,26,38,0.027,0.012,0.3,0.003
2022-11-03 4:00,18,30,0.027,0.01,0.2,0.002
2022-11-03 5:00,19,30,0.018,0.015,0.3,0.002
2022-11-03 6:00,24,30,0.015,0.016,0.3,0.002
2022-11-03 7:00,27,39,0.013,0.022,0.3,0.002
